iter	Logloss
0	0.6917129185
1	0.6903036559
2	0.6887866521
3	0.6870149242
4	0.6855487447
5	0.6841053777
6	0.6832912753
7	0.6818299635
8	0.6805343812
9	0.6790456113
10	0.6785024859
11	0.677544188
12	0.6764099933
13	0.6757045774
14	0.6745251798
15	0.6731061143
16	0.6716405156
17	0.6708466246
18	0.6698809746
19	0.6691416992
20	0.6682637116
21	0.6674737497
22	0.6666696913
23	0.6662909794
24	0.665332785
25	0.6644436611
26	0.6634531091
27	0.6626667996
28	0.6620524097
29	0.6611419067
30	0.6597725535
31	0.659216041
32	0.6587420484
33	0.6583756432
34	0.657989974
35	0.6574745407
36	0.657037041
37	0.6567160281
38	0.656185205
39	0.6557452446
40	0.6553040274
41	0.6544921779
42	0.6541558365
43	0.653534431
44	0.6528887589
45	0.6522300775
46	0.6516562141
47	0.6514141672
48	0.6509339109
49	0.650277776
50	0.6495844879
51	0.6491914717
52	0.6487723056
53	0.6485030032
54	0.6481513277
55	0.647713384
56	0.6474482158
57	0.6469192637
58	0.6466094554
59	0.6461959511
60	0.6457475359
61	0.6453599401
62	0.6449997283
63	0.6444882336
64	0.643895963
65	0.643324853
66	0.6429693429
67	0.6425761205
68	0.6421145315
69	0.6418952469
70	0.6415950378
71	0.6413596244
72	0.6409075259
73	0.6405284468
74	0.6401878207
75	0.6400114554
76	0.6395456244
77	0.6393097647
78	0.6391684945
79	0.6388473892
80	0.6386029855
81	0.6382408261
82	0.6380531842
83	0.6379032461
84	0.6377322735
85	0.6373890481
86	0.6369782976
87	0.6365762149
88	0.6362312015
89	0.6360005002
90	0.6358124093
91	0.6355999348
92	0.6354295818
93	0.6352027598
94	0.6350089276
95	0.6347640925
96	0.6346418398
97	0.6342279354
98	0.6339749916
99	0.6337839718
100	0.6334958581
101	0.6333682487
102	0.6331310678
103	0.6329055919
104	0.6327617087
105	0.6325253253
106	0.6323108644
107	0.6320364322
108	0.6318450304
109	0.6315066513
110	0.6311364881
111	0.6309868919
112	0.6308414113
113	0.6305449532
114	0.6302389777
115	0.6300792212
116	0.6298222495
117	0.6296248867
118	0.6295092074
119	0.6293479949
120	0.6291509463
121	0.6290135907
122	0.6289035808
123	0.6287417204
124	0.6285923266
125	0.62834375
126	0.6280224399
127	0.6278996218
128	0.6277933463
129	0.6276635643
130	0.6274688185
131	0.6272405972
132	0.6270256288
133	0.6268923974
134	0.6267020583
135	0.6264826868
136	0.6263155651
137	0.6262212655
138	0.6260167532
139	0.6259160021
140	0.6255971235
141	0.6254434443
142	0.6253276993
143	0.6252534806
144	0.6250188956
145	0.6248073972
146	0.6246621606
147	0.6244077781
148	0.6243051144
149	0.6242258607
150	0.624063745
151	0.6239437371
152	0.6236895221
153	0.6235393649
154	0.6233090381
155	0.6231698324
156	0.6230033552
157	0.6226931006
158	0.6226026938
159	0.6223974953
160	0.6222033793
161	0.6220979895
162	0.6219000306
163	0.621815948
164	0.6217185655
165	0.6216113655
166	0.6214405157
167	0.6213823905
168	0.6212301985
169	0.621146098
170	0.621003062
171	0.6208367261
172	0.620670275
173	0.6205325686
174	0.6203857706
175	0.6202400737
176	0.620120291
177	0.6199637352
178	0.6198019532
179	0.6196614759
180	0.6196008608
181	0.6195316813
182	0.6194122184
183	0.619227563
184	0.619050001
185	0.6189579522
186	0.6188473846
187	0.6187295809
188	0.6186164999
189	0.6185539432
190	0.6184174484
191	0.6182975389
192	0.6181265296
193	0.6180524442
194	0.6179398077
195	0.6177596739
196	0.6176262363
197	0.6175588166
198	0.6174358557
199	0.617340952
200	0.6171470068
201	0.6169396287
202	0.6168751704
203	0.6168128795
204	0.6167464936
205	0.6166655706
206	0.6165405074
207	0.61642316
208	0.6162784487
209	0.6161932145
210	0.6161250257
211	0.6159567379
212	0.6158482075
213	0.6158007687
214	0.6156690121
215	0.6155801073
216	0.6155023443
217	0.6153804157
218	0.6152475184
219	0.6150554134
220	0.6149484851
221	0.6147089958
222	0.6145700599
223	0.6144682076
224	0.6142947896
225	0.6142008358
226	0.614036878
227	0.6139881628
228	0.6138320519
229	0.6137781584
230	0.6137144959
231	0.6136420878
232	0.6135649053
233	0.6134622647
234	0.6133520683
235	0.6132118893
236	0.6131260244
237	0.6129795882
238	0.6129011441
239	0.6127526051
240	0.6126740928
241	0.6124690327
242	0.612381222
243	0.6121995427
244	0.6121483637
245	0.6120524268
246	0.6119825704
247	0.6118301619
248	0.6117231991
249	0.6115985574
250	0.6114431196
251	0.6113389632
252	0.6112858586
253	0.6111897305
254	0.6110747391
255	0.6109378355
256	0.6109203286
257	0.6108313383
258	0.6106718347
259	0.610594352
260	0.6105019919
261	0.6104084988
262	0.6103288655
263	0.6102670144
264	0.610191292
265	0.6101386991
266	0.609995506
267	0.6098650605
268	0.609772081
269	0.6096428039
270	0.6095746745
271	0.6094626238
272	0.6094084632
273	0.6092996692
274	0.6092968049
275	0.6092155013
276	0.6091365134
277	0.6090090134
278	0.6088863515
279	0.6087346089
280	0.608654377
281	0.6084954059
282	0.6083906015
283	0.6082613213
284	0.6081557838
285	0.6080907703
286	0.6079381532
287	0.6078955068
288	0.6077075042
289	0.607651904
290	0.6075869948
291	0.6074797061
292	0.6073896797
293	0.6073005187
294	0.6072221528
295	0.607128336
296	0.6070566193
297	0.606940523
298	0.6068565424
299	0.6067621149
300	0.6066638227
301	0.60652733
302	0.6064325716
303	0.6063384482
304	0.6062609484
305	0.6061811549
306	0.6060765356
307	0.6059532217
308	0.6058760741
309	0.6057382827
310	0.6056431719
311	0.6055467832
312	0.6053601318
313	0.6052522108
314	0.6051680482
315	0.6050577112
316	0.6049562495
317	0.6048486111
318	0.6047270072
319	0.6046236509
320	0.6044718541
321	0.6043181311
322	0.6042429394
323	0.6041687651
324	0.6040610923
325	0.6039546954
326	0.6037654507
327	0.6036386436
328	0.6035411875
329	0.603459439
330	0.6033164567
331	0.6031779396
332	0.603134657
333	0.6030008306
334	0.6029325669
335	0.6028034652
336	0.6026874734
337	0.6025333932
338	0.6024109521
339	0.6022877141
340	0.6022073165
341	0.6020115617
342	0.6018539974
343	0.6017149229
344	0.6015880508
345	0.6014690862
346	0.6013262752
347	0.6011241036
348	0.6010428002
349	0.6009037895
350	0.6007877077
351	0.6006315273
352	0.6005495245
353	0.600473147
354	0.6003203059
355	0.6001540377
356	0.60000829
357	0.5998531799
358	0.5997373819
359	0.5996098525
360	0.5994769674
361	0.5993127558
362	0.5992234311
363	0.599106269
364	0.5989671897
365	0.5987717093
366	0.5986062273
367	0.5983444957
368	0.5982242886
369	0.5981020258
370	0.5980048792
371	0.5978500936
372	0.5976672371
373	0.5974804368
374	0.5973457027
375	0.5971557386
376	0.5970056323
377	0.5967771604
378	0.5966041007
379	0.5964739015
380	0.5963161815
381	0.5961502358
382	0.59592418
383	0.5957477472
384	0.5955421514
385	0.5954000323
386	0.5952648162
387	0.5950591993
388	0.5949402418
389	0.5948196154
390	0.5946557045
391	0.5944407377
392	0.5942790761
393	0.5941441963
394	0.5940008781
395	0.5938292399
396	0.5937073099
397	0.5935642392
398	0.5934027229
399	0.5932460563
400	0.5930302831
401	0.5928938378
402	0.5927360691
403	0.5925707648
404	0.5923779933
405	0.5922015656
406	0.5920545914
407	0.5918852496
408	0.5917006513
409	0.5915276012
410	0.5913528203
411	0.5911844115
412	0.5910006045
413	0.5908606482
414	0.5907092656
415	0.5905821032
416	0.5904482243
417	0.5902322843
418	0.5900723686
419	0.5898750172
420	0.5897403081
421	0.5895768633
422	0.5893940761
423	0.5892260064
424	0.5891346813
425	0.5889989731
426	0.5888375665
427	0.5886814483
428	0.5884914509
429	0.5883407893
430	0.5881761717
431	0.5879901388
432	0.5878382707
433	0.587680119
434	0.5875302756
435	0.5873533826
436	0.5871697159
437	0.5870261884
438	0.5868441814
439	0.5867181294
440	0.5865507615
441	0.5864477078
442	0.5863007651
443	0.5861353565
444	0.5859575433
445	0.585752923
446	0.5856134316
447	0.5854999832
448	0.5853395016
449	0.5852110005
450	0.5850680447
451	0.5848832616
452	0.5847249175
453	0.5845531466
454	0.5843956603
455	0.5842564224
456	0.584121713
457	0.583969822
458	0.5837344136
459	0.5835731688
460	0.5834065434
461	0.5832796515
462	0.5831267067
463	0.582957064
464	0.5828281542
465	0.5826664366
466	0.5825327674
467	0.5823917165
468	0.5822819037
469	0.5821639521
470	0.582001148
471	0.5818789466
472	0.5817129939
473	0.581554382
474	0.5814126392
475	0.5813069145
476	0.5811847462
477	0.5810315744
478	0.5809352705
479	0.5807881649
480	0.5806162807
481	0.5805116744
482	0.5803313007
483	0.5801930176
484	0.5800605869
485	0.5799132889
486	0.5797074564
487	0.5795594489
488	0.5794199506
489	0.5793042295
490	0.5792065868
491	0.5790579756
492	0.5789121272
493	0.5787812488
494	0.5786517633
495	0.5785095462
496	0.5783885253
497	0.5782595674
498	0.5781462028
499	0.578018521
500	0.5778983427
501	0.57775639
502	0.5775885746
503	0.5774425134
504	0.577267269
505	0.5771197146
506	0.5769888535
507	0.5768413373
508	0.5767132513
509	0.5766035787
510	0.5764948902
511	0.5763551194
512	0.576187676
513	0.576050959
514	0.5759085934
515	0.5757437232
516	0.5756052757
517	0.5754053871
518	0.575282385
519	0.5751589641
520	0.5750697262
521	0.57495638
522	0.5747716051
523	0.5746256196
524	0.5744811859
525	0.5743708877
526	0.5742286254
527	0.5741073863
528	0.5739484959
529	0.5737961682
530	0.5736766093
531	0.5735754874
532	0.5734092091
533	0.5732581798
534	0.5730459247
535	0.5728915216
536	0.57276961
537	0.5725535531
538	0.572423382
539	0.5723141673
540	0.5722066461
541	0.5720455759
542	0.5719250287
543	0.5717743954
544	0.5716219282
545	0.57147574
546	0.5713033908
547	0.5711820441
548	0.5710694454
549	0.5708849681
550	0.5707547354
551	0.5706373167
552	0.570519604
553	0.5703387065
554	0.5702265882
555	0.5701060985
556	0.5699913798
557	0.569862196
558	0.5697362365
559	0.5696290321
560	0.5695083753
561	0.5693909847
562	0.5692679738
563	0.5691395176
564	0.5690099963
565	0.5689180787
566	0.5687557067
567	0.5686358852
568	0.5684739413
569	0.5683535184
570	0.5682200866
571	0.5681089248
572	0.5679794811
573	0.5678484006
574	0.5677583114
575	0.5676205649
576	0.5675154586
577	0.5673665292
578	0.5672634351
579	0.5671712312
580	0.5670404773
581	0.5668908963
582	0.5667449602
583	0.5666195203
584	0.566494108
585	0.566390842
586	0.5662888484
587	0.5661785494
588	0.5660474444
589	0.5659071094
590	0.5658043449
591	0.5656199997
592	0.5654299414
593	0.5653175293
594	0.5652074062
595	0.5651323061
596	0.5650061187
597	0.5648557795
598	0.5647039908
599	0.5645854563
600	0.5644649881
601	0.5642934958
602	0.5641700929
603	0.5640385179
604	0.5638844631
605	0.5637756583
606	0.5636872785
607	0.5635807273
608	0.5634335662
609	0.5632694143
610	0.5631562943
611	0.5630189457
612	0.5628875751
613	0.5627979696
614	0.5626775464
615	0.5625589681
616	0.5624335691
617	0.5623028271
618	0.5621892948
619	0.5620843053
620	0.5619715647
621	0.5618511063
622	0.5617233314
623	0.5616029814
624	0.561479687
625	0.561373577
626	0.5612712549
627	0.5611214457
628	0.5609568161
629	0.5608090818
630	0.5606802476
631	0.5605906853
632	0.5604948266
633	0.5603152915
634	0.5601727587
635	0.5600874596
636	0.5599493718
637	0.5598167827
638	0.5597084445
639	0.5595923797
640	0.5594710817
641	0.5593001606
642	0.5591623399
643	0.5590475671
644	0.5589124001
645	0.5587786315
646	0.5586666129
647	0.5585593526
648	0.5584274241
649	0.5582683433
650	0.5581689173
651	0.5580575512
652	0.5579415944
653	0.5578052024
654	0.5576704699
655	0.5575505449
656	0.557460121
657	0.5573472446
658	0.5572010108
659	0.5570680865
660	0.5569414533
661	0.556851981
662	0.5567343033
663	0.5565581626
664	0.55641778
665	0.5562632754
666	0.5561532379
667	0.5560451747
668	0.5559304522
669	0.5557993758
670	0.5557123272
671	0.5556204847
672	0.5554750936
673	0.555366659
674	0.5552364362
675	0.555144085
676	0.5550317404
677	0.5549012957
678	0.5547926891
679	0.5546798259
680	0.5545963732
681	0.554456125
682	0.5543072759
683	0.5541779635
684	0.5540563277
685	0.5539459611
686	0.5538264951
687	0.5537089548
688	0.5536059983
689	0.5534543355
690	0.553334908
691	0.553200001
692	0.5530796839
693	0.5529239022
694	0.5527840333
695	0.5527033709
696	0.5525104567
697	0.5523958187
698	0.5522762596
699	0.5521760472
700	0.5520387926
701	0.5519343753
702	0.5518204118
703	0.5516979016
